burden_category,us_incidence_pct,us_incidence_count,us_incidence_total,us_mortality_pct,us_mortality_count,us_mortality_total,world_incidence_pct,world_incidence_count,world_incidence_total,world_mortality_pct,world_mortality_count,world_mortality_total,confidence,source,us_source_locator,us_source_locator_status,world_source_locator,world_source_locator_status,source_site_labels,source_site_codes,included_source_sites,excluded_source_sites,derivation_basis,rounding_rule,provenance_notes,notes,aggregation,source_anchor
lung,11.0,,,20.0,,,12.4,,,18.7,,,high,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,highest mortality:incidence of common sites,single_site,PMID:38230766;DOI:10.3322/caac.21834
breast,15.0,,,7.0,,,11.6,,,6.9,,,high,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,female breast,female_breast,PMID:38230766;DOI:10.3322/caac.21834
prostate,16.0,,,6.0,,,7.3,,,4.1,,,high,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,low mortality:incidence (indolent fraction),single_site,PMID:38230766;DOI:10.3322/caac.21834
colorectal,8.0,,,9.0,,,9.6,,,9.3,,,high,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,sum_of_sites,not_extracted,,COAD+READ,COAD+READ,PMID:38230766;DOI:10.3322/caac.21834
pancreas,3.0,,,8.0,,,4.1,,,4.8,,,high,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,high mortality:incidence,single_site,PMID:38230766;DOI:10.3322/caac.21834
liver,2.0,,,5.0,,,4.3,,,7.8,,,high,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,sum_of_sites,not_extracted,,liver+intrahepatic bile duct; world>>US (GLOBOCAN2022 866k=4.3%),liver+intrahepatic_bile_duct,PMID:38230766;DOI:10.3322/caac.21834
stomach,1.5,,,1.8,,,4.9,,,6.8,,,high,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,world>>US,single_site,PMID:38230766;DOI:10.3322/caac.21834
esophagus,1.0,,,2.7,,,4.6,,,4.6,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,adeno(West)/squamous(Asia),single_site,PMID:38230766;DOI:10.3322/caac.21834
bladder,4.0,,,3.0,,,3.0,,,2.0,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,,single_site,PMID:38230766;DOI:10.3322/caac.21834
kidney,4.0,,,2.0,,,2.5,,,1.8,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,sum_of_sites,not_extracted,,kidney+renal pelvis,kidney+renal_pelvis,PMID:38230766;DOI:10.3322/caac.21834
melanoma,5.0,,,1.3,,,1.7,,,0.6,,,high,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,cutaneous; low mortality share,single_site,PMID:38230766;DOI:10.3322/caac.21834
ovary,1.6,,,2.6,,,1.6,,,2.1,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,HGSOC-dominant,single_site,PMID:38230766;DOI:10.3322/caac.21834
uterus_endometrium,3.0,,,2.0,,,2.2,,,1.0,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,corpus uteri,corpus_uteri,PMID:38230766;DOI:10.3322/caac.21834
cervix,0.8,,,0.7,,,3.3,,,3.6,,,high,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,world>>US (screening/HPV gap),single_site,PMID:38230766;DOI:10.3322/caac.21834
head_and_neck,3.5,,,2.6,,,5.0,,,4.5,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,sum_of_sites,not_extracted,Intentional pirlygenes parity delta: 2.6% includes ACS 2024 oral cavity/pharynx plus larynx deaths; downstream 1.8% omitted larynx (oncoref #136),oral+pharynx+larynx aggregate (incl larynx); world adds nasopharynx,oral_cavity+pharynx+larynx (world +nasopharynx),PMID:38230766;DOI:10.3322/caac.21834
thyroid,2.0,,,0.4,,,4.1,,,0.5,,,high,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,lowest mortality:incidence; overdiagnosis (GLOBOCAN2022 821k=4.1%),single_site,PMID:38230766;DOI:10.3322/caac.21834
brain_cns,1.4,,,2.7,,,1.6,,,2.5,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,sum_of_sites,not_extracted,,brain+CNS incl glioma (GBM/LGG),brain+CNS,PMID:38230766;DOI:10.3322/caac.21834
non_hodgkin_lymphoma,4.0,,,3.0,,,2.8,,,2.5,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,incl DLBCL/FL/MCL/BL,NHL_aggregate (DLBCL+FL+MCL+BL+other),PMID:38230766;DOI:10.3322/caac.21834
hodgkin_lymphoma,0.4,,,0.1,,,0.4,,,0.2,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,highly curable,single_site,PMID:38230766;DOI:10.3322/caac.21834
multiple_myeloma,1.8,,,2.0,,,1.0,,,1.1,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,plasma-cell,single_site,PMID:38230766;DOI:10.3322/caac.21834
leukemia_AML,1.0,,,1.9,,,0.9,,,1.5,,,low,ACS-CFF2024,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,deadliest leukemia; world approx,AML (subset of leukemia),PMID:38230766
leukemia_all_other,2.1,,,2.0,,,1.5,,,1.6,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,sum_of_sites,not_extracted,,leukemia excl AML (CLL+CML+ALL+other),leukemia excl AML (CLL+CML+ALL+other),PMID:38230766;DOI:10.3322/caac.21834
mesothelioma,0.15,,,0.4,,,0.1,,,0.2,,,low,ACS-CFF2024,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,asbestos-linked; very low survival,single_site,PMID:38230766
testicular_germ_cell,0.5,,,0.05,,,0.5,,,0.1,,,medium,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,young men; chemo-curable,single_site,PMID:38230766;DOI:10.3322/caac.21834
adrenal,0.04,,,0.04,,,0.05,,,0.05,,,low,literature,,not_extracted,,not_extracted,,,,,literature_approximation,not_extracted,Literature approximation anchored to US ACC SEER and population-based PPGL epidemiology; percentages remain curated approximations,adrenocortical+pheo/paraganglioma; very rare,adrenocortical+pheochromocytoma/paraganglioma,PMID:29977421;PMID:33112261
bone_and_joint,0.2,,,0.34,,,0.2,,,0.2,,,low,ACS-CFF2024;GLOBOCAN2022,,not_extracted,,not_extracted,,,,,direct_source,not_extracted,,primary bone (OS/EWS/CHON/CHOR),primary_bone (OS+EWS+CHON+CHOR),PMID:38230766;DOI:10.3322/caac.21834
