Ensembl_Gene_ID,Symbol,category,reference_tpm,reference_source,reference_profile_version
ENSG00000232926,AC000078.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000230194,AC000081.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000237347,AC004461.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000235573,AC005005.2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000266944,AC005262.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000267398,AC006130.2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000240673,AC006539.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000224415,AC007683.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213303,AC008481.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213304,AC008481.2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000251374,AC010598.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000267589,AC011444.4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000243024,AC012158.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213293,AC012618.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000234750,AC012618.2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000214259,AC018695.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000279483,AC090498.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000274700,AC091304.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000273716,AC092670.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000244086,AC110749.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000237550,AC243919.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000234735,AL022237.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000236132,AL022331.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000215450,AL022342.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000226396,AL031727.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000219023,AL033519.3,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000237214,AL080243.2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000214093,AL096701.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000229169,AL096701.2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000239783,AL121776.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000234573,AL121890.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000215444,AL138807.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000217130,AL139100.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000235922,AL354766.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000219470,AL355802.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000287102,AL356361.3,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000216616,AL356421.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000216813,AL358178.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000214641,AL445529.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000220614,AL583834.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000214526,AP000343.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000215464,AP000354.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000180211,FO393411.1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000147403,RPL10,ribosomal_protein,3283.227295,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000198755,RPL10A,ribosomal_protein,1241.039917,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000244691,RPL10AP1,ribosomal_protein,0.0301,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000188873,RPL10AP2,ribosomal_protein,0.32009,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000215264,RPL10AP3,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000235467,RPL10AP5,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000226360,RPL10AP6,ribosomal_protein,2.390077,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000217026,RPL10P1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000216347,RPL10P10,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000230853,RPL10P11,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000234040,RPL10P12,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000258245,RPL10P13,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000260031,RPL10P14,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000267119,RPL10P15,ribosomal_protein,0.410097,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000178464,RPL10P16,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000225196,RPL10P17,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000253995,RPL10P18,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000233609,RPL10P19,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000174572,RPL10P2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000230734,RPL10P3,ribosomal_protein,0.570115,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000238003,RPL10P4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000235644,RPL10P5,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000230076,RPL10P6,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242052,RPL10P7,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000254012,RPL10P8,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000233913,RPL10P9,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000142676,RPL11,ribosomal_protein,1803.394287,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000227394,RPL11P1,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213613,RPL11P3,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000283120,RPL11P3,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000184111,RPL11P4,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242137,RPL11P5,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000197958,RPL12,ribosomal_protein,1732.571899,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000204194,RPL12P1,ribosomal_protein,0.180105,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000228099,RPL12P1,ribosomal_protein,0.180105,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000232733,RPL12P1,ribosomal_protein,0.180105,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000226279,RPL12P10,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000232493,RPL12P11,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000236992,RPL12P12,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000172746,RPL12P13,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000224321,RPL12P14,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000230993,RPL12P15,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000204196,RPL12P16,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000224839,RPL12P17,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000213400,RPL12P18,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000226972,RPL12P19,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000216412,RPL12P2,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000239627,RPL12P20,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242683,RPL12P21,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000253109,RPL12P22,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000218716,RPL12P23,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000243601,RPL12P24,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000235330,RPL12P25,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000236171,RPL12P26,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000237169,RPL12P27,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000240180,RPL12P28,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000233189,RPL12P29,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000233106,RPL12P3,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242353,RPL12P30,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000241228,RPL12P31,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000242314,RPL12P32,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
ENSG00000244585,RPL12P33,ribosomal_protein,0.0,Treehouse Tumor Compendium 25.01 PolyA median TPM,treehouse_polya_25_01_median_v1
